Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
		B		Any Way You Want It	Y	.38 Special		8			80s				Brillant					lyrics done, needs chords			TO LEARN
				Caught Up In You	Y	.38 Special		1982				Classic rock											CRF
				Rockin' Into The Night		.38 Special																	CRF
				On Broadway	Y	A Chorus Line		7															RBF
				Boogie Oogie Oogie	Y	A Taste of Honey		1978				Pop											RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Take On Me	Y	A-Ha ^^ Reel Big Fish		8 ^^ 9			80s												yes
PRF 3rd only				All That She Wants		Ace of Base																	PRF
PRF 3rd only				The Sign	Y	Ace of Base		9															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Rolling in the Deep	Y	Adele		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Set Fire To the Rain	Y	Adele		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				To Make You Feel My Love	Y	Adele ^^ Bob Dylan ^^ Billy Joel		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Cryin'	Y	Aerosmith		9			90s	Classic Rock											yes
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Wanna Miss A Thing	Y	Aerosmith		9			90s			X	Etzel								yes
				Dream On	Y	Aerosmith																	CRF
				Last Child		Aerosmith																	CRF
				Sweet Emotion	Y	Aerosmith		8															CRF
				Walk This Way	Y	Aerosmith		8															CRF
				I'm Still In Love With You		Al Green																	RBF
				Let's Stay Together	Y	Al Green		7															PRF 4th (don't have)
				A Whole New World (Aladdin's Theme)		Alan Menkin, Tim Rice		1992															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Ironic	Y	Alanis Morisette		9			90s												yes
				Born Under A Bad Sign		Albert King																	RBF
				I'll Play The Blues For You		Albert King																	RBF
PRF 4th only				I Swear	LEARN	All 4 One		9															PRF 4th (don't have)
				I Can Love You Like That	Y	All-4-One ^^ John Michael Montgomery		9			90s			X	Etzel								RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Party Hard	Y	Andrew WK		0			00s												yes
05/07/16 Irizarry wedding	X	A		The house of the rising sun	Y	Animals		6			60s	Classic Rock	X										LC
				Just Because		Anita Baker																	RBF
				Sign Of The Gypsy Queen		April Wine																	CRF
				A Rose Is Still A Rose		Aretha Franklin		1998															RBF
				(You Make Me Feel Like) A Natural Woman	Y	Aretha Franklin		1968				Classic soul											RBF
				Respect	Y	Aretha Franklin ^^ Otis Redding	Otis Redding	6															RBF
				Heat Of The Moment	Y	Asia		8				Pop											CRF
				So Into You		Atlanta Rhythm Section																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Complicated 	Y	Avril Lavine		0			00s												yes
				Last Night		Az Yet																	RBF
				Let It Ride		Bachman-Turner Overdrive																	CRF
				Roll On Down The Highway		Bachman-Turner Overdrive																	CRF
				Takin' Care Of Business	Y	Bachman-Turner Overdrive		7															CRF
				You Ain't Seen Nothin' Yet	Y	Bachman-Turner Overdrive		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Feel Like Makin' Love	Y	Bad Company		7			60-70				Etzel								yes
				The Way We Were	Y	Barbara Streisand		7															PRF
				Copacabana	Y	Barry Manilow		1978				Adult contemporary, Pop											PRF
				Stand By Me	Y	Ben E. King ^^ John Lennon	John Lennon	6															PRF
				Annie Waits 	Y	Ben Folds		0			00s												Piano transcription
				Carrying Cathy	Y	Ben Folds		0			00s												PV
				Fired	Y	Ben Folds		0			00s												PV
				Fred Jones Part 2	Y	Ben Folds		0			00s												PV
				Gone	Y	Ben Folds		0			00s												PV
				Landed	Y	Ben Folds		0			00s												Piano transcription
				Losing Lisa	Y	Ben Folds		0			00s												PV
